Show,Week 2,Week 7,Week 16,Week 23,Week 25,Week 10,Week 24,Week 8,Week 6,Week 5,Week 12,Week 9,Week 13,Week 15,Week 26,Week 14,Week 19,Week 20,Week 21
Aai Kuthe Kay Karte,,,,,,,,,,,1.0,,,,1.0,,,,
Aai Mayeche Kavach,,,6.0,,,,,,,,,,,,,,,2.0,
Aboli,,,,,,,,2.0,,,,,1.0,,,,,,
Balumamachya Navana Changbhala,,,,,,,,,,,,,,5.0,,,3.0,,
Bhagya Dile Tu Mala,,,,,,,,,,,,,,,,,,,2.0
Devmanus S2,3.0,,3.0,2.0,,2.0,,3.0,,,,,,,,,,,
Gatha Navanathanchi,,,9.0,,,,,,,,,,,,,,,,
Jai Jai Swami Samarth,,,,,,,,,,,6.0,,,,,2.0,,1.0,
Jeev Majha Guntala,,,,,,,,,,,,,,2.0,,,,,1.0
Lagnachi Bedi,,,,,,,,,,,,,2.0,,,,,,
Lek Majhi Durga,,,,,,,,,,,7.0,,,,,3.0,,3.0,
Mahaminister,,,7.0,3.0,,,,,,,,,,,,,,,
Majhi Tujhi Reshimgath,,,,,,,,,2.0,,3.0,,,,,,,,
Man Jhala Bajind,,,,,,4.0,,4.0,,,,,,3.0,,,,,
Man Udu Udu Jhala,1.0,3.0,1.0,1.0,3.0,,,,,,,,,,,,,,
Masta Majedar Kitchen Kallakar,4.0,,,,,,,,,,,,,,,,,,
Mulgi Zali Ho,,,,,,,,,3.0,,,,,,,,,,
Phulala Sugandh Maticha,,,,,2.0,,,,1.0,,,2.0,,,,,,,
Pinkycha Vijay Aso,,,,,,3.0,,,,,,,,,,,,,
Raja Ranichi Ga Jodi,,,5.0,,,,,,,,,,,,,,2.0,,
Rang Majha Vegla,,,,,1.0,,,1.0,,,,,,,,,,,
Sahakutumba Sahaparivar,2.0,,,,,1.0,2.0,,,,,,,,,,,,
Satyavan Savitri,,,,,,,3.0,,,,,,,,,,,,
Sukh Mhanje Nakki Kay Asta,,,,,,,1.0,,,,,1.0,,,,,,,
Sundara Manamadhye Bharali,,,4.0,,,,,,,,5.0,,,,,1.0,1.0,,
Swabhimaan,,2.0,,,,,,,,,,,,,,,,,
Swarajya Saudamini Tararani,,,8.0,,,,,,,,,,,,,,,,
Thipkyanchi Rangoli,,1.0,,,,,,,,1.0,2.0,,,,,,,,
Tu Tevha Tashi,,,2.0,,4.0,,,,,,4.0,,,1.0,,,,,
Tujhya Majhya Sansarala Ani Kai Hava,5.0,4.0,4.0,,,5.0,,5.0,4.0,,,,,,,,,,
Tujhya Rupacha Chandana,,,,,,,,,,,,,,4.0,,,,,3.0
